date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:51	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Jul%202022%2000:03:50%20GMT	https://www.vatican.va/robots.txt		(from )
12:03:52	227/227	---M--	302	error ('Found')	text/html	date:Mon,%2004%20Jul%202022%2000:03:51%20GMT	https://www.vatican.va/	www.vatican.va/index.html	(from )
12:03:53	3865/3865	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2000:03:53%20GMT	https://www.vatican.va/content/vatican.html	www.vatican.va/content/vatican.html	(from https://www.vatican.va/)
12:03:55	8819/8819	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2011:15:25%20GMT	https://www.vatican.va/etc/clientlibs/foundation/main.min.77f07f85da93e61bb291da28df2065ac.css	www.vatican.va/etc/clientlibs/foundation/main.min.77f07f85da93e61bb291da28df2065ac.css	(from https://www.vatican.va/content/vatican.html)
12:03:57	68303/68303	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Apr%202022%2011:15:27%20GMT	https://www.vatican.va/etc/designs/generics2/library/clientlibs.min.25498fb47f0d5f43eead9ee78241c07f.css	www.vatican.va/etc/designs/generics2/library/clientlibs.min.25498fb47f0d5f43eead9ee78241c07f.css	(from https://www.vatican.va/content/vatican.html)
12:03:59	34029/34029	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20May%202022%2013:38:33%20GMT	https://www.vatican.va/etc/designs/vatican/library/clientlibs.min.ccd7444b48ccc45c215e07f1f55ba1d6.css	www.vatican.va/etc/designs/vatican/library/clientlibs.min.ccd7444b48ccc45c215e07f1f55ba1d6.css	(from https://www.vatican.va/content/vatican.html)
12:04:01	106632/106632	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2011:15:28%20GMT	https://www.vatican.va/etc/clientlibs/granite/jquery.min.8449879e68d64f217e527ab5387bf65e.js	www.vatican.va/etc/clientlibs/granite/jquery.min.8449879e68d64f217e527ab5387bf65e.js	(from https://www.vatican.va/content/vatican.html)
12:04:03	9056/9056	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2011:22:35%20GMT	https://www.vatican.va/etc/clientlibs/granite/utils.min.cd31222ac49213ace66f3568912db918.js	www.vatican.va/etc/clientlibs/granite/utils.min.cd31222ac49213ace66f3568912db918.js	(from https://www.vatican.va/content/vatican.html)
12:04:05	711/711	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2011:15:28%20GMT	https://www.vatican.va/etc/clientlibs/granite/jquery/granite.min.e26b5f40a34d432bee3ded1ccbdc7041.js	www.vatican.va/etc/clientlibs/granite/jquery/granite.min.e26b5f40a34d432bee3ded1ccbdc7041.js	(from https://www.vatican.va/content/vatican.html)
12:04:06	16/16	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2011:22:35%20GMT	https://www.vatican.va/etc/clientlibs/foundation/jquery.min.d7c42e4a257b8b9fe38d1c53dd20d01a.js	www.vatican.va/etc/clientlibs/foundation/jquery.min.d7c42e4a257b8b9fe38d1c53dd20d01a.js	(from https://www.vatican.va/content/vatican.html)
12:04:08	4977/4977	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2011:22:38%20GMT	https://www.vatican.va/etc/clientlibs/foundation/main.min.1705fea38fedb11b0936752ffe8a5fc6.js	www.vatican.va/etc/clientlibs/foundation/main.min.1705fea38fedb11b0936752ffe8a5fc6.js	(from https://www.vatican.va/content/vatican.html)
12:04:11	155724/155724	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Apr%202022%2011:15:25%20GMT	https://www.vatican.va/etc/designs/generics2/library/clientlibs.min.c5bfe9bf6f920cf61a0a6eb2afcd84bc.js	www.vatican.va/etc/designs/generics2/library/clientlibs.min.c5bfe9bf6f920cf61a0a6eb2afcd84bc.js	(from https://www.vatican.va/content/vatican.html)
12:04:13	580658/580658	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202022%2013:38:45%20GMT	https://www.vatican.va/etc/designs/vatican/library/clientlibs.min.a048ef155d62651cae0435360a52b70c.js	www.vatican.va/etc/designs/vatican/library/clientlibs.min.a048ef155d62651cae0435360a52b70c.js	(from https://www.vatican.va/content/vatican.html)
12:04:13	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2007%20Apr%202022%2011:15:26%20GMT	https://www.vatican.va/etc/designs/vatican/favicon.ico	www.vatican.va/etc/designs/vatican/favicon.ico	(from https://www.vatican.va/content/vatican.html)
12:04:15	212896/212896	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2000:04:15%20GMT	https://www.vatican.va/content/vatican/it.html	www.vatican.va/content/vatican/it.html	(from https://www.vatican.va/content/vatican.html)
12:04:17	125/125	---M--	200	added ('OK')	image/gif	date:Thu,%2007%20Apr%202022%2012:51:33%20GMT	https://www.vatican.va/etc/designs/default/images/icons/default.gif	www.vatican.va/etc/designs/default/images/icons/default.gif	(from https://www.vatican.va/etc/clientlibs/foundation/main.min.77f07f85da93e61bb291da28df2065ac.css)
12:04:19	297/297	---M--	200	added ('OK')	image/gif	date:Thu,%2007%20Apr%202022%2012:39:18%20GMT	https://www.vatican.va/etc/designs/default/images/icons/doc.gif	www.vatican.va/etc/designs/default/images/icons/doc.gif	(from https://www.vatican.va/etc/clientlibs/foundation/main.min.77f07f85da93e61bb291da28df2065ac.css)
