HTTrack3.49-2 launched on Mon, 04 Jul 2022 12:03:49 at https://www.vatican.va/
(/usr/bin/httrack -iC1 -r6 https://www.vatican.va/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:03:52	Warning: 	Found for https://www.vatican.va/
12:03:52	Warning: 	File has moved from https://www.vatican.va/ to https://www.vatican.va/content/vatican.html
12:17:53	Error: 	"Forbidden" (403) at link https://www.vatican.va/etc/designs/generics2/library/clientlibs/styles/list-style.gif (from https://www.vatican.va/etc/designs/generics2/library/clientlibs.min.25498fb47f0d5f43eead9ee78241c07f.css)
12:19:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/etc/designs/francesco/library/clientlibs.min.d41d8cd98f00b204e9800998ecf8427e.js
13:27:43	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/francesco.pdf
13:27:58	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-xvi.pdf
13:28:13	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-paolo-ii.pdf
13:28:27	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-paolo-i.pdf
13:28:43	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/paolo-vi.pdf
13:28:56	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/giovanni-xxiii.pdf
13:29:11	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-xii.pdf
13:29:28	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-xi.pdf
13:29:42	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/benedetto-xv.pdf
13:29:57	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/pio-x.pdf
13:30:12	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/leone-xiii.pdf
13:30:30	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/pius-ix/it.pdf
13:31:59	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/gregorius-xvi/it.pdf
13:33:00	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/pius-viii/it.pdf
13:33:33	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/leo-xii/it.pdf
13:34:25	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/pius-vii/it.pdf
13:35:17	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/pius-vi/it.pdf
13:36:19	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/clemens-xiv/it.pdf
13:36:47	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/clemens-xiii/it.pdf
13:37:32	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/benedictus-xiv/it.pdf
13:38:28	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://www.vatican.va/content/vatican/it/holy-father/clemente-xii.pdf
